method,model_version,dataset,num_members,num_non_members,num_samples,roc_auc,run_id,run_url,created_at
MIA_perplexity,audio-flamingo-2-0.5B,audiocaps,1000,1000,2000,0.420889,506psrt4,https://wandb.ai/nask-di/audio-benchmark/runs/506psrt4,2026-05-24T22:37:19Z
MIA_perplexity,audio-flamingo-2-0.5B,audioset,1000,1000,2000,0.472622,7qs09h30,https://wandb.ai/nask-di/audio-benchmark/runs/7qs09h30,2026-05-24T22:37:19Z
MIA_perplexity,audio-flamingo-2-0.5B,clotho,1000,648,1648,0.5758240740740741,7efuew43,https://wandb.ai/nask-di/audio-benchmark/runs/7efuew43,2026-05-24T22:37:14Z
MIA_perplexity,audio-flamingo-2-1.5B,audiocaps,1000,1000,2000,0.423403,ejs9fpci,https://wandb.ai/nask-di/audio-benchmark/runs/ejs9fpci,2026-05-24T22:39:40Z
MIA_perplexity,audio-flamingo-2-1.5B,audioset,1000,1000,2000,0.485747,8xfcfbf9,https://wandb.ai/nask-di/audio-benchmark/runs/8xfcfbf9,2026-05-24T22:39:40Z
MIA_perplexity,audio-flamingo-2-1.5B,clotho,1000,648,1648,0.5854675925925926,ezvyq1df,https://wandb.ai/nask-di/audio-benchmark/runs/ezvyq1df,2026-05-24T22:39:14Z
MIA_perplexity,audio-flamingo-2-3B,audiocaps,1000,1000,2000,0.440092,vvclkaff,https://wandb.ai/nask-di/audio-benchmark/runs/vvclkaff,2026-05-24T23:06:47Z
MIA_perplexity,audio-flamingo-2-3B,audioset,1000,1000,2000,0.480666,b9crjzhj,https://wandb.ai/nask-di/audio-benchmark/runs/b9crjzhj,2026-05-24T23:06:48Z
MIA_perplexity,audio-flamingo-2-3B,clotho,1000,648,1648,0.6402530864197531,x0syrayl,https://wandb.ai/nask-di/audio-benchmark/runs/x0syrayl,2026-05-24T23:06:47Z
MIA_perplexity,audio-flamingo-3-hf,audiocaps,1000,1000,2000,0.718968,15in0ilq,https://wandb.ai/nask-di/audio-benchmark/runs/15in0ilq,2026-05-24T22:28:13Z
MIA_perplexity,audio-flamingo-3-hf,audioset,1000,1000,2000,0.505869,gnhu2ip5,https://wandb.ai/nask-di/audio-benchmark/runs/gnhu2ip5,2026-05-24T22:28:43Z
MIA_perplexity,audio-flamingo-3-hf,clotho,1000,648,1648,0.7632978395061728,ihkxjgm2,https://wandb.ai/nask-di/audio-benchmark/runs/ihkxjgm2,2026-05-24T22:28:20Z
min_k,audio-flamingo-2-0.5B,audiocaps,1000,1000,2000,0.416316,5pc1ue0s,https://wandb.ai/nask-di/audio-benchmark/runs/5pc1ue0s,2026-05-24T22:38:13Z
min_k,audio-flamingo-2-0.5B,audioset,1000,1000,2000,0.518621,le0zda1c,https://wandb.ai/nask-di/audio-benchmark/runs/le0zda1c,2026-05-24T22:38:46Z
min_k,audio-flamingo-2-0.5B,clotho,1000,648,1648,0.5453441358024691,wo9ts8ue,https://wandb.ai/nask-di/audio-benchmark/runs/wo9ts8ue,2026-05-24T22:38:22Z
min_k,audio-flamingo-2-1.5B,audiocaps,1000,1000,2000,0.410213,pg4hutzs,https://wandb.ai/nask-di/audio-benchmark/runs/pg4hutzs,2026-05-24T22:40:46Z
min_k,audio-flamingo-2-1.5B,audioset,1000,1000,2000,0.509619,c7o31a6t,https://wandb.ai/nask-di/audio-benchmark/runs/c7o31a6t,2026-05-24T22:40:47Z
min_k,audio-flamingo-2-1.5B,clotho,1000,648,1648,0.5681635802469136,2y76jrdo,https://wandb.ai/nask-di/audio-benchmark/runs/2y76jrdo,2026-05-24T22:40:41Z
min_k,audio-flamingo-2-3B,audiocaps,1000,1000,2000,0.424959,uc6dappd,https://wandb.ai/nask-di/audio-benchmark/runs/uc6dappd,2026-05-24T23:07:18Z
